Año,Trimestre,Provincia,-30 Mbps,+ 30 Mbps,OTROS,Total,Fecha
2017,3,Neuquén,104339,4937,0,109276,2017-07-01
2017,3,Río Negro,103350,1659,0,105009,2017-07-01
2017,3,Salta,133337,63,0,133400,2017-07-01
2017,3,San Juan,58693,2,0,58695,2017-07-01
2017,3,San Luis,12399,7,0,12406,2017-07-01
2017,3,Santa Cruz,29954,1,0,29955,2017-07-01
2017,3,Santa Fe,611480,12982,0,624462,2017-07-01
2017,3,Santiago Del Estero,65358,2,0,65360,2017-07-01
2017,3,Tierra Del Fuego,34164,0,0,34164,2017-07-01
2017,3,Tucumán,159304,655,0,159959,2017-07-01
2017,2,Buenos Aires,2930542,46178,0,2976720,2017-04-01
2017,2,Capital Federal,1526217,37977,0,1564194,2017-04-01
2017,2,Catamarca,26702,1,0,26703,2017-04-01
2017,2,Chaco,90064,545,0,90609,2017-04-01
2017,2,Chubut,80229,0,0,80229,2017-04-01
2017,2,Córdoba,653491,5069,0,658560,2017-04-01
2017,2,Corrientes,89447,647,0,90094,2017-04-01
2017,2,Entre Ríos,181974,823,0,182797,2017-04-01
2017,2,Formosa,29819,139,0,29958,2017-04-01
2017,2,Jujuy,42657,1,0,42658,2017-04-01
2017,2,La Pampa,69172,21,0,69193,2017-04-01
2017,2,La Rioja,16286,2,0,16288,2017-04-01
2017,2,Mendoza,177483,22,0,177505,2017-04-01
2017,2,Misiones,99226,570,0,99796,2017-04-01
2017,2,Neuquén,107883,1703,0,109586,2017-04-01
2017,2,Río Negro,104820,559,0,105379,2017-04-01
2017,2,Salta,108475,76,0,108551,2017-04-01
2017,2,San Juan,58796,4,0,58800,2017-04-01
2017,2,San Luis,14027,2,0,14029,2017-04-01
2017,2,Santa Cruz,31765,0,0,31765,2017-04-01
2017,2,Santa Fe,562729,4275,0,567004,2017-04-01
2017,2,Santiago Del Estero,33199,0,0,33199,2017-04-01
2017,2,Tierra Del Fuego,35710,0,0,35710,2017-04-01
2017,2,Tucumán,154369,21,0,154390,2017-04-01
2017,1,Buenos Aires,3164425,22299,0,3186724,2017-01-01
2017,1,Capital Federal,1243059,19881,0,1262940,2017-01-01
2017,1,Catamarca,26315,0,0,26315,2017-01-01
2017,1,Chaco,88733,314,0,89047,2017-01-01
2017,1,Chubut,80150,0,0,80150,2017-01-01
2017,1,Córdoba,640027,2071,0,642098,2017-01-01
2017,1,Corrientes,88302,303,0,88605,2017-01-01
